Miss Jerry| The adventures of a female reporter in the 1890s.;
La moglie bella| Dowdy housewife Kitty dotes on her selfcentered husband but divorces him when his mistress shows up at their home one day to break up their marriage. Bob had become bored with her ...;
Nel regno della fantasia| Dress designer Joan Wood, whos heavily in debt, has created costumes for a Broadway show that is exported to Argentina. With the money she wants to pay her debts, but there was a mistake ...;
The Life of the Party| Two attractive female songpluggers decide to become golddiggers, with comic results.;
The Light of Western Stars| A friend of Dick Bailey is killed by a mysterious assailant, whom Dick suspects to be Stack, who is in league with the crooked sheriff. Out on a spree Dick swears he will marry the first ...;
La leggenda di Liliom| Liliom, a merrygoround barker at a Budapest amusement park, becomes enamored of Julie, a servant girl, and though under the influence of Madame Muskat, a sideshow entrepreneur, he marries...;
Piccolo Cesare| A smalltime criminal moves to a big city to seek bigger fortune.;
Loose Ankles| In this light romantic comedy, 17year old Loretta Young is cast as Ann Harper, a wealthy socialite who has inherited a fortune provided the family is involved in no scandals appearing in ...;
Lord Byron of Broadway| A tunesmith, a user and an outandout heel, puts the stories of his broken romances into song, turning old love letters into lyrics, and capitalizing on the death of his best friend to ...;
The PayOff| A thug robs a young engaged couple of their last few dollars. When the thugs gang boss hears of the robbery, he gives them back their money and takes them under his wing. The thug, ...;
La moglie n. 66| Sundered lovers meet again amid tragic irony at a mining camp in northern Norway.;
Love in the Rough| When shipping clerk Jack Kelly is recruited by his employer to help his golf game, his boss insists he conceal his humble identity at the country club.;
Lovin the Ladies| Jimmy Farnsworth Allen Kearns bets his friend 5,000 that he can get any two people, under the proper environment, to fall in love and become engaged within a month.;
Madame Satan| Angela and Bob Brooks are an upper class couple. Unfortunately, Bob is an unfaithful husband. But Angela has a plan to win back her husbands affections. An elaborate masquerade ball is to ...;
Nomadi del canto| A love triangle develops in a traveling minstrel troupe.;
Manslaughter| A spoiled young rich girl is sent to prison for accidentally running down a pedestrian. There she learns about a life and people she had never even imagined existed before. Upon her release...;
Mary| A juror in a murder trial, after voting to convict, has second thoughts and begins to investigate on his own before the execution.;
The Matrimonial Bed| It is the fifth anniversary of the death of Adolphe Noblet who died in a train wreck. His servant and friends still worship him but dont care much for his wife Sylvaines second husband ...;
Maybe Its Love| A college football player Joe E. Brown persuades a beautiful young woman Joan Bennett to individually flirt with an entire team of AllAmerican football players, in order to entice them...;
The Medicine Man| The son and daughter of an abusive shopkeeper turn to a medicine show salesman for help.;
Il sottomarino| Navy divers clear the torpedo tube of a sunken submarine.;
Castigo| Min, the owner of a dockside hotel, is forced to make difficult decisions about the future of Nancy, the young woman she took in as an infant.;
Moby Dick il mostro bianco| In this extremely loose adaptation of Melvilles classic novel, Ahab is revealed initially not as a bitter and vengeful madman, but as a bit of a lovable scamp. Ashore in New Bedford, he ...;
Un marito fuori posto| A vacuous and flirtatious daughter of a wealthy rancher falls in love and marries a Texas cowboy and rancher, who calls her Montana, and eventually clash over their different lifestyles, to the point of almost ending their marriage.;
Monte Carlo| A countess flees to Monte Carlo on the day of her wedding, where she is courted by a count posing as a hairdresser.;
Marocco| A cabaret singer and a Legionnaire fall in love, but their relationship is complicated by the results of his womanizing and due to the appearance of a rich man who wants her for himself.;
Omicidio| A juror in a murder trial, after voting to convict, has second thoughts and begins to investigate on his own before the execution.;
Passione cosacca| New Moon is the name of the ship crossing the Caspian Sea. A young Lt. Petroff meets the Princess Tanya and they have a ship board romance. Upon arriving at the port of Krasnov, Petroff ...;
Gabbia di matti| Notsosmart chatterbox Dulcy Parker does and says all the wrong things, but they right themselves to prove shes not so dumb after all.;
La donna e la femmina| A scheming musician seduces a wealthy woman for love and money.;
La dattilografa| Larry Fellowes of Fellowes Publishing wants Kate to write her next book about the Office Wife. The personal secretarystenographer spends more time with the busy executive and makes more ...;
One Night at Susies| A woman who owns a boarding house winds up being the mother hen to the assorted mobsters and racketeers who live there. When her foster son decides to take the blame for a murder that was...;
Notte romantica| A scheming mother wishes to make a succesful match between her daughter and a prince, yet another man, a commoner, may stand in the way.;
Ragazze che sognano| Three department store girlsConnie, Franky, and Jerryshare an apartment on West 91st Street in New York City. Each earns little more than 20 dollars per week. Jerry is the sensible one,...;
Outside the Law| Fingers is planning a halfmilliondollar bank robbery in gang boss Cobra Collins territory. Fingers moll Connie tries to bluff Cobra into thinking the hit wont be for another week when the call comes through saying its now.;
Outward Bound| Later remade as Between Two Worlds.;
Debito dodio| Mary Turner goes up for three years on a crime she didnt commit. Once out she and former prison mates plan a scam in which old men can be sued for breach of promise  the heart balm ...;
Paramount revue| A musical revue that basically has Paramount stars and contractplayers doing things some had never done on screen, and wouldnt again such as Ruth Chatteron , in a Frenchcaf setting ...;
Party Girl| Jay Rountree, son of a wealthy manufacturer and young, rising businessman, gets caught up in a web involving an escort service or party girls. While eluding the wily Diana Holster, the ...;
Passion Flower| A bored society woman invites scandal and heartache when she falls in love with her lowborn chauffeur.;
La petite Lise| Victor Berthier, a good man but also a very jealous one, killed his wife in a fit of jealousy. After serving a few years in a chain gang, he is released for good behavior. He feels very ...;
Vertigine del lusso| New York girl has a dull boyfriend and seems destined for a dull marriage when she meets a rich playboy who has money to burn and places to go. She gets involved with the playboy and never ...;
Prazdnik svyatogo Yorgena| Satire of religious charlatanry where priests, police, and stock market officials conspire to fleece pilgrims whove come to see relics of a supposed saint. A pair of con men hatch a scheme...;
Miss Europa| Lucienne, typist and gorgeous bathing beauty, decides to enter the Miss Europe pageant sponsored by the French newspaper she works for. She finds her jealous lover Andre violently ...;
Vertigine| A vaudeville and nightclub performer becomes successful and forgets who his friends really are.;
Una notte celestiale| A poor but basically honest flower woman agrees to impersonate a wicked opera star.;
Raffles| A distinguished English gentleman has a secret lifehe is the notorious jewel thief the press has dubbed The Amateur Cracksman. When he meets a woman and falls in love he decides to ...;
Luci del circo| Woman inherits a traveling circus which brings financial difficulties.;
Sono stato bocciato ma...| A story of a college student Tatsuo Sait and his schoolmates trying to pass the exams by cheating.;
Reaching for the Moon| Wall Street wizard, Larry Day, new to the ways of love, is coached by his valet. He follows Vivian Benton on an ocean liner, where cocktails, laced with a love potion, work their magic. ...;
Redenzione| Fedya wins Lisa away from her fiance, Victor Karenin. But after Fedya weds Lisa, he becomes infatuated with a gypsy girl, Masha. His duplicity leads to tragedy.;
La banda dei fantasmi| A radio announcer suspects a cohort sends coded messages over the air to his bankrobber friends.;
La spia| Four oneforall and allforone privates in the French Foreign Legion are all in jail for disorderly conduct, but they break out and rejoin their regiment and fight off a band of marauding...;
The Return of Dr. Fu Manchu| The villainous master criminal Dr. Fu Manchu sets out to destroy the people he holds responsible for the death of his family.;
Rivers End| Sgt. Conniston and his alcoholic guide OToole are on the trail of an escaped murderer named Keith. When they catch up with him in the farthest reaches of Northern Canada, Keith turns out ...;
Dallombra alla luce| A young girl falls in with a gang of criminals. One of their capers is robbing the house of a wealthy socialite who happens to look just like her. In the process of cleaning out the house, ...;
Amor gitano| In tsarist Russia, a princess falls for a dashing bandit leader, but their romance proves a stormy one.;
Una volpe a corte| When Renard the Foxs mischievous pranks go too far, King Lion is forced to attempt to bring the trickster to justice.;
Romanzo| Young Harry is in love and wants to marry an actress, much to the displeasure of his family. Harry thinks that Bishop Armstrong knows nothing about love so Armstrong tells him the story of ...;
La famiglia reale di Broadway| Julie Cavendish comes from a family of great Broadway actors. Her mother Fanny staunchly continues acting. Her boisterous brother Tony is fleeing a breach of promise suit in Hollywood. Her ...;
Runaway Bride| A young socialite and a rich playboy elope to Atlantic City. However, she soon realizes hes not the man she wants him to be and tries to call off the wedding. A jewelry store robbery, murder and other mayhem are soon involved.;
Le sang dun pote| A young artist draws a face at a canvas on his easel. Suddenly the mouth on the drawing comes into life and starts talking. The artist tries to wipe it away with his hand, but when he looks...;
Sarah and Son| A neerdowell husband, after years of abusing his wife, disappears with their son, and winds up selling him to a wealthy family. Years later, the wifenow a worldfamous opera singer...;
Il vampiro del mare| The West Indies island of Portuga exists mainly for sponge diving. But the best area of collection is frequented by a very large manta ray. Nina loses her brother to the creature and is ...;
La crociera del folle| On a yacht sailing from Shanghai to the United States, the sailors, led by the megalomaniac steward, revolt and take control.;
Show Girl in Hollywood| Rainbow Girls has just opened and closed on Broadway when Dixie, a actress in it, runs into smooth talking Hollywood Director Frank Buelow. He tells her she would be a natural, promises ...;
The Silver Horde| A salmon fisherman has to choose between a bad girl and a society doll.;
The Sin Ship| A lecherous ship captain becomes spiritually changed by a female passenger, not realizing she and her minister husband are really bank robbers.;
Sin Takes a Holiday| A plain secretary works for a womanizing divorce lawyer who only dates married women. To avoid having to deal with the matrimonial pursuits of any of his potential romances, he offers her financial support if she marries him in name only.;
La vacanza del peccatore| Ma Delano La Verne runs a boardwalk penny arcade, living upstairs with her sons Cagney and Gallagher and daughter Knapp. Story involves rum running, accidental murder and a frameup.;
Ombre e luci| A German immigrant to a small American town is a barber with four children. He has saved enough money to invest in a savingsandloan company with a friend. Unfortunately, one of his sons ...;
So Long Letty| Uncle Claude comes to the Ardmore Beach Hotel to see Tommy and his wife. At the hotel, with his two granddaughters Ruth and Sally, Uncle Claude meets a wise talking employee named Letty ...;
Sam Lee principe cinese| A Chinese posing as an American goes to Monte Carlo where he falls in love with Alanna, who later goes berserk upon learning his true identity.;
Song o My Heart| Broken hearts in Ireland. Sean is a great tenor, in semiretirement, living in a village close to Mary, the woman hes always loved. Marys aunt convinced her to marry a man for his money ...;
La moglie di quella notte| A desperate man with a sick daughter decides to commit a robbery in order to help her. He begins to feel remorse though, which makes him question his decision.;
Soup to Nuts| Mr. Schmidts costume store is bankrupt because he spends his time on Rube Goldbergstyle inventions. The creditors send a young manager who falls for Schmidts niece Louise, but shell ...;
Sotto i tetti di Parigi| Albert is smitten for Pola but ends up wrongly committed in jail, in the meantime her affections are sought after by his friend, and on his release both love and friendship must be tested.;
Spring Is Here| Betty a young woman is going steady with Terry but falls for an exciting new comer to town Steve. Bettys father wants her to marry Terry but she doesnt see that she actually is in love ...;
Street of Chance| A bigtime, but honest gambler has to prevent his younger brother from following in his footsteps, and taking up gambling.;
Sunny| To be near the fella she loves, an English bareback rider dons dungarees and cap to pass as a boy stows away to America, gets caught, marries someone else...and finally ends up in the warm ...;
Sweet Kitty Bellairs| In 1793, Kitty Bellairs travels to Bath, Somerset for a vacation. She is a famous flirt, with about 40 previous affairs. Her coach wagon is stopped by a highwayman, but the man falls in ...;
The Texan| An outlaw, the Llano Kid is the scourge of south Texas and a Bible quoting lawman named Thacker. The kid joins a con man in a plot to deceive a wealthy old woman that hes her longlost son...;
They Learned About Women| When Jack and Jerry are not playing professional baseball with the Blue Sox, they are packing them in on the Vaudeville circuit. Jack is engaged to Mary, but a gold digger named Daisy has ...;
Agente segreto Z1| A beautiful British intelligence agent attempts to reveal the identity and motives of a powerful German spy during World War 1.;
Tom Sawyer| The classic Mark Twain tale of a young boy and his friends on the Mississippi River. Tom and his pals Huckleberry Finn and Joe Harper have numerous adventures, including running away to be ...;
Tonka Sibenice| A prostitute in an act of pity is keeping chaste company with a condemned man through the night before he is to be hung.;
Top Speed| An order clerk poses as a millionaire.;
True to the Navy| A countergirl at a San Diego soda shop has a lot of sailor boyfriends, but her heart really belongs to a freespirited gunner, who doesnt want to be tied down to any one woman.;
The Truth About Youth| Richard Carewe has raised his deceased friends son from childhood with the help of his housekeeper and her beautiful daughter, Phyllis. He arranges a marriage between Phyllis and the boy, ...;
The Unholy Three| Talkie remake of Tod Brownings 1925 silent film. A trio of former sideshow performers double as the Unholy Three in a scam to nab some shiny rocks.;
